Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,,
2024-05-01 00:00:00+00:00,60205.0,60205.0,60763.9296875,60028.41796875,60612.921875,0
2024-05-01 01:00:00+00:00,60046.0390625,60046.0390625,60314.19921875,59842.71875,60183.35546875,252477440
2024-05-01 02:00:00+00:00,59856.140625,59856.140625,60091.3671875,59546.796875,60066.85546875,0
2024-05-01 03:00:00+00:00,60180.30859375,60180.30859375,60197.79296875,59857.140625,59857.140625,162103296
2024-05-01 04:00:00+00:00,60200.47265625,60200.47265625,60255.40625,60141.25390625,60169.0078125,147656704
2024-05-01 05:00:00+00:00,59940.43359375,59940.43359375,60245.8515625,59905.1953125,60207.921875,999424
2024-05-01 06:00:00+00:00,59568.12890625,59568.12890625,59966.22265625,59534.31640625,59946.0078125,414912512
2024-05-01 07:00:00+00:00,57405.6328125,57405.6328125,59464.01953125,57068.4140625,59464.01953125,4782424064
2024-05-01 08:00:00+00:00,57030.30078125,57030.30078125,57485.60546875,56564.9140625,57435.5078125,2024251392
2024-05-01 09:00:00+00:00,57111.60546875,57111.60546875,57494.11328125,56989.9765625,57052.7578125,249409536
2024-05-01 10:00:00+00:00,57654.8203125,57654.8203125,57654.8203125,56830.6640625,57073.015625,515887104
2024-05-01 11:00:00+00:00,57842.08984375,57842.08984375,57842.08984375,57444.47265625,57701.38671875,0
2024-05-01 12:00:00+00:00,57908.48046875,57908.48046875,58203.66015625,57696.2734375,57836.85546875,0
2024-05-01 13:00:00+00:00,57254.25390625,57254.25390625,57932.8125,57254.25390625,57921.25390625,347557888
2024-05-01 14:00:00+00:00,57485.953125,57485.953125,57494.2890625,57080.1796875,57223.6953125,0
2024-05-01 15:00:00+00:00,56792.8203125,56792.8203125,57423.109375,56671.84375,57423.109375,109387776
2024-05-01 16:00:00+00:00,57019.67578125,57019.67578125,57321.0390625,56723.39453125,56811.08984375,0
2024-05-01 17:00:00+00:00,57455.9140625,57455.9140625,57563.05859375,56715.828125,56974.08984375,0
2024-05-01 18:00:00+00:00,59071.359375,59071.359375,59368.5,57427.98828125,57438.0703125,3254931456
2024-05-01 19:00:00+00:00,56858.4375,56858.4375,59147.85546875,56858.4375,58859.73828125,757231616
2024-05-01 20:00:00+00:00,57369.96484375,57369.96484375,57447.93359375,56708.796875,56968.37109375,0
2024-05-01 21:00:00+00:00,57859.609375,57859.609375,58045.9375,57209.828125,57304.26171875,417804288
2024-05-01 22:00:00+00:00,57824.15234375,57824.15234375,58063.58203125,57807.7109375,57828.0625,0
2024-05-01 23:00:00+00:00,58288.07421875,58288.07421875,58421.46484375,57750.81640625,57758.0859375,378789888
2024-05-02 00:00:00+00:00,57741.1640625,57741.1640625,58498.87890625,57633.42578125,58267.6796875,623411200
2024-05-02 01:00:00+00:00,57038.55859375,57038.55859375,57819.0859375,56947.76171875,57711.73046875,619028480
2024-05-02 02:00:00+00:00,57410.43359375,57410.43359375,57533.3359375,57133.21484375,57161.0703125,0
2024-05-02 03:00:00+00:00,57453.26953125,57453.26953125,57627.296875,57355.1640625,57409.54296875,925696
2024-05-02 04:00:00+00:00,57329.78515625,57329.78515625,57570.62109375,57261.859375,57394.0078125,0
2024-05-02 05:00:00+00:00,57440.5078125,57440.5078125,57464.43359375,57200.69140625,57327.97265625,88195072
2024-05-02 06:00:00+00:00,57592.5390625,57592.5390625,57670.30078125,57378.9609375,57438.39453125,0
2024-05-02 07:00:00+00:00,57628.6328125,57628.6328125,57843.8984375,57591.76953125,57591.76953125,0
2024-05-02 08:00:00+00:00,57810.32421875,57810.32421875,57935.42578125,57629.18359375,57629.18359375,0
2024-05-02 09:00:00+00:00,57768.71875,57768.71875,57856.39453125,57648.4921875,57816.7421875,0
2024-05-02 10:00:00+00:00,57791.140625,57791.140625,57868.71484375,57588.890625,57778.734375,0
2024-05-02 11:00:00+00:00,58557.0078125,58557.0078125,58609.75390625,57833.21875,57833.21875,1046921216
2024-05-02 12:00:00+00:00,58576.5546875,58576.5546875,59065.203125,58460.578125,58549.765625,878399488
2024-05-02 13:00:00+00:00,58439.15625,58439.15625,58771.1171875,58256.19140625,58546.58984375,0
2024-05-02 14:00:00+00:00,59110.0078125,59110.0078125,59274.38671875,58309.59765625,58441.8671875,652496896
2024-05-02 15:00:00+00:00,59241.515625,59241.515625,59405.015625,58987.53515625,59054.89453125,21831680
2024-05-02 16:00:00+00:00,59051.17578125,59051.17578125,59259.609375,58982.40234375,59259.609375,0
2024-05-02 17:00:00+00:00,59236.58984375,59236.58984375,59251.859375,58982.359375,59024.33203125,0
2024-05-02 18:00:00+00:00,59445.54296875,59445.54296875,59562.57421875,59008.47265625,59206.578125,0
2024-05-02 19:00:00+00:00,59231.609375,59231.609375,59404.73828125,59065.10546875,59404.73828125,0
2024-05-02 20:00:00+00:00,58773.921875,58773.921875,59429.11328125,58727.6796875,59368.45703125,0
2024-05-02 21:00:00+00:00,59121.5078125,59121.5078125,59522.26171875,58751.71875,58751.71875,0
2024-05-02 22:00:00+00:00,59328.3125,59328.3125,59425.06640625,59121.31640625,59123.1171875,0
2024-05-02 23:00:00+00:00,59113.69140625,59113.69140625,59373.79296875,59113.69140625,59343.35546875,0
2024-05-03 00:00:00+00:00,59048.8515625,59048.8515625,59128.94140625,58851.484375,59087.4921875,0
2024-05-03 01:00:00+00:00,59359.3046875,59359.3046875,59490.84375,59040.80859375,59053.3203125,0
2024-05-03 02:00:00+00:00,59561.47265625,59561.47265625,59928.90234375,59302.40625,59336.19921875,26249216
2024-05-03 03:00:00+00:00,59740.55859375,59740.55859375,59992.25390625,59557.21484375,59557.21484375,431472640
2024-05-03 04:00:00+00:00,59585.7734375,59585.7734375,59825.6015625,59573.72265625,59736.5859375,0
2024-05-03 05:00:00+00:00,59524.203125,59524.203125,59622.6171875,59496.875,59608.1484375,0
2024-05-03 06:00:00+00:00,59274.48828125,59274.48828125,59553.0078125,59274.48828125,59539.14453125,0
2024-05-03 07:00:00+00:00,59179.00390625,59179.00390625,59420.6796875,59115.4296875,59283.90234375,16949248
2024-05-03 08:00:00+00:00,59244.4921875,59244.4921875,59392.4140625,59146.7265625,59186.26953125,0
2024-05-03 09:00:00+00:00,59504.0,59504.0,59574.38671875,59231.38671875,59231.38671875,0
2024-05-03 10:00:00+00:00,59036.72265625,59036.72265625,59495.59765625,58892.45703125,59495.59765625,0
2024-05-03 11:00:00+00:00,59281.33203125,59281.33203125,59397.95703125,58887.67578125,59044.8046875,0
2024-05-03 12:00:00+00:00,60693.3359375,60693.3359375,60693.3359375,59013.984375,59285.08984375,569040896
2024-05-03 13:00:00+00:00,61662.1953125,61662.1953125,61737.734375,60572.3828125,60645.46875,2481596416
2024-05-03 14:00:00+00:00,61660.2265625,61660.2265625,62039.96484375,61431.18359375,61699.7265625,488306688
2024-05-03 15:00:00+00:00,61766.8515625,61766.8515625,61766.8515625,61380.83203125,61648.47265625,0
2024-05-03 16:00:00+00:00,61674.0625,61674.0625,61997.82421875,61582.10546875,61698.07421875,332652544
2024-05-03 17:00:00+00:00,61852.609375,61852.609375,61952.2421875,61576.3671875,61693.65625,0
2024-05-03 18:00:00+00:00,61821.20703125,61821.20703125,61984.40625,61750.46875,61837.90625,0
2024-05-03 19:00:00+00:00,62025.58984375,62025.58984375,62025.58984375,61642.3515625,61832.6796875,0
2024-05-03 20:00:00+00:00,62860.75,62860.75,63172.9375,62013.14453125,62105.0390625,1153718272
2024-05-03 21:00:00+00:00,62593.28125,62593.28125,62948.828125,62425.1015625,62903.46484375,0
2024-05-03 22:00:00+00:00,62858.1484375,62858.1484375,63023.6015625,62731.97265625,62774.14453125,229607424
2024-05-03 23:00:00+00:00,62889.01953125,62889.01953125,63240.93359375,62828.5625,62838.44140625,320907264
2024-05-04 00:00:00+00:00,63123.515625,63123.515625,63199.1015625,62839.703125,62911.71875,0
2024-05-04 01:00:00+00:00,62914.22265625,62914.22265625,63558.10546875,62870.0703125,63137.453125,228624384
2024-05-04 02:00:00+00:00,62705.02734375,62705.02734375,62905.6171875,62638.41796875,62903.953125,0
2024-05-04 03:00:00+00:00,62722.58984375,62722.58984375,62887.16015625,62692.76953125,62707.37890625,0
2024-05-04 04:00:00+00:00,63122.78515625,63122.78515625,63122.78515625,62719.03125,62736.6796875,155394048
2024-05-04 05:00:00+00:00,63383.40625,63383.40625,63400.0859375,63015.64453125,63074.6640625,141899776
2024-05-04 06:00:00+00:00,62985.30078125,62985.30078125,63404.625,62970.3203125,63404.625,0
2024-05-04 07:00:00+00:00,62985.26953125,62985.26953125,63128.140625,62942.1015625,62986.89453125,0
2024-05-04 08:00:00+00:00,63155.22265625,63155.22265625,63218.25390625,62972.05078125,62981.7578125,0
2024-05-04 09:00:00+00:00,63152.83984375,63152.83984375,63292.6875,63090.19921875,63171.8828125,0
2024-05-04 10:00:00+00:00,64290.63671875,64290.63671875,64290.63671875,63140.828125,63189.7109375,649922560
2024-05-04 11:00:00+00:00,63866.68359375,63866.68359375,64464.6875,63796.58203125,64446.61328125,916570112
2024-05-04 12:00:00+00:00,64009.7578125,64009.7578125,64025.62109375,63811.859375,63875.61328125,0
2024-05-04 13:00:00+00:00,63747.8828125,63747.8828125,64144.16015625,63510.13671875,64077.265625,0
2024-05-04 14:00:00+00:00,63849.1015625,63849.1015625,63911.87109375,63587.83203125,63747.23046875,0
2024-05-04 15:00:00+00:00,63642.15234375,63642.15234375,63845.82421875,63513.91796875,63845.82421875,0
2024-05-04 16:00:00+00:00,63672.2734375,63672.2734375,63722.91015625,63456.140625,63630.97265625,0
